每个业务局点对应的一个业务产品,_Upgrade_Package_Affil_Catalog
对账,_Check_Acct
热点,_Hot
续费,_Cnu_Fee
保修,_Warranty
单据,_Bill
招行,_Cmb
合并,_Union
抢购,_Pbuy
分配,_Alct
清零,_Clear_Zero
磁性,_Mgtc
报备,_Bk_Rpt
1个,_One
1日,_1dy
15日,_15dy
换机,_Chg_Mobile
复购,_Rpurch
认领,_Claim
试玩,_Tryplay
VMOS,_Vmos
优点,_Advt
缺点,_Dsadvt
有用,_Usefl
没用,_Usels
隐藏,_Hide
概括,_General
评价,_Eval
官方,_Offc
精品,_Cptv_Pro
打包,_Package
腾讯,_Tencent
金山,_Kingsoft
深睡,_Deep_Sleep
睡梦,_Dream
打鼾,_Snore
白天,_Day
睡醒,_Wake
试听,_Audition
无损,_Lossls
题目,_Qstn
片段,_Fragment
布局,_Layout
最短,_ Shortest
群聊,_Groupchat
调起,_Opens
可付,_Payable
黄牛,_Scalper
完善,_Perfect
竞品,_Cptg_Pro
回流,_Back
2日,_2dy
WMS,_Wms
URL,_URL
UV,_UV
4日,_4dy
5日,_5dy
6日,_6dy
8日,_8dy
9日,_9dy
优选,_Pref
品类,_Categ
第3,_3rd
第7,_7th
第2,_2nd
危险,_Danger
灌装,_Fill
鉴权,_Ath
法语,_Fr
快递,_Express
代销,_Consignment
回执,_Receipt
报废,_Scrap
物流,_Lgst
现在,_Now
铃声,_Ringtone
解绑,_Unbind
补丁,_Patch
解压,_Dcmprsn
提取,_Extra
评级,_Rating
至,_To
或,_Or
贷,_Cr
子,_Sub
转,_Tfr
值,_Val
月,_Mon
源,_Src
预,_Pre
与,_And
新,_New
细,_Dtl
未,_Non
税,_Tax
数,_Cnt
日,_Day
买,_Buy
旧,_Old
净,_Net
集,_Set
及,_And
换,_Chg
红,_Red
和,_And
号,_Num
该,_The
费,_Fee
非,_Non
二,_Two
额,_Amt
段,_Seg
低,_low
大,_Big
出,_Out
不,_Non
表,_Tbl
老,_Old
主,_Prim
周,_Week
只,_Only
证,_Cert
原,_Orgi
易,_Easy
页,_Page
叶,_Leaf
项,_Item
锁,_Lock
树,_Tree
市,_City
年,_Year
名,_Name
卖,_Sell
码,_Code
率,_Rate
零,_Zero
类,_Type
卡,_Card
寄,_Post
还,_Paid
根,_Root
高,_High
副,_Vice
分,_Cent
防,_Anti
半,_Half
组,_Group
总,_Total
准,_Quasi
域,_Field
小,_Small
三,_Three
群,_Group
价,_Price
季,_Quart
后,_After
初,_Begin
县,_County
双,_Double
权,_Rights
前,_Before
秒,_Second
黄,_Yellow
父,_Parent
券,_Coupon
已,_Already
包,_Package
省,_Province
差,_Bad
被,_Be
慢,_Slow
金,_Golden
银,_Silver
到,_To
云,_Cloud
短,_Shrt
书,_Book
自,_Self
墙,_Wall
